ID,Title,Description,Content,Anonymous Mode,Email,Full Name,Department Name,Role Name,Submission,Like,Dislike,Document URL,Topic,Total Views,Total Reaction,Final Closure Date
625039e718d405bc7cb4ada0,123,123,123,false,staff@test.com,staff acc,unknown,Staff,Spring Semester,["624c0d736787a8d71959d892"],[],https://drive.google.com/file/d/1PkZU8aT5pjtUrN03ENBwxEW2KtYRZ4WZ/view?usp=drivesdk,,1,,2022-10-03T17:00:00.000Z
62503ab118d405bc7cb4add3,no document,no document,no document,false,staff@test.com,staff acc,unknown,Staff,Spring Semester,["624c0d736787a8d71959d892"],["624c2ca9df719afdc2f6957c","624f13c2126d8dd1bff9c00b"],,,,,2022-10-03T17:00:00.000Z
62503ae018d405bc7cb4adda,no document,no document,no document,false,staff@test.com,staff acc,unknown,Staff,Spring Semester,["624c2ca9df719afdc2f6957c"],[],https://drive.google.com/file/d/1zfFe1IqpnhPNJ5VutKEMY9gnfJWq-0wO/view?usp=drivesdk,,,,2022-10-03T17:00:00.000Z
62503f3f79e269c55f55ffd8,test,test,test,false,staff@test.com,staff acc,unknown,Staff,Spring Semester,["624c2ca9df719afdc2f6957c"],[],,,,,2022-10-03T17:00:00.000Z
6250402879e269c55f55ffe0,test,test,test gì,false,staff@test.com,staff acc,unknown,Staff,Spring Semester,["624c0d736787a8d71959d892"],["624c2ca9df719afdc2f6957c"],https://drive.google.com/file/d/1YAX6fIayY5ygjimSC3Q4YpGkb20DM7Gi/view?usp=drivesdk,,,,2022-10-03T17:00:00.000Z
6250423979e269c55f560012,123,123,123,false,staff@test.com,staff acc,unknown,Staff,Spring Semester,[],[],,,,,2022-10-03T17:00:00.000Z
6250435e79e269c55f560024,123,123,123,false,staff@test.com,staff acc,unknown,Staff,Spring Semester,[],[],,,,,2022-10-03T17:00:00.000Z
625043e279e269c55f56003a,123,123,213,false,staff@test.com,staff acc,unknown,Staff,Spring Semester,["6250b9da475c84e58946c46e"],[],https://drive.google.com/file/d/1rsywvZf1-h3lIV97kLdXo_0bx7LkM-_1/view?usp=drivesdk,,,,2022-10-03T17:00:00.000Z
6250ca584c7ca155b2f7440e,ma gaming,ma gaming,ma gaming,false,dth1617tranthientrong12a6@gmail.com,QA Manager,unknown,Staff,Spring Semester,[],[],https://drive.google.com/file/d/17sIhvexmKDNzxNq9hRrCD-tyE4MJZ2mR/view?usp=drivesdk,,,,2022-10-03T17:00:00.000Z
6250ca6e4c7ca155b2f74416,ma gaming,ma gaming,ma gaming,false,dth1617tranthientrong12a6@gmail.com,QA Manager,unknown,Staff,Spring Semester,[],[],https://drive.google.com/file/d/11hgjBGeqgws0KPACPnrrwsdifXgT2VLc/view?usp=drivesdk,,,,2022-10-03T17:00:00.000Z
6250cca8f3867c43a8cc9456,test,test,test,false,dth1617tranthientrong12a6@gmail.com,QA Manager,unknown,Staff,Spring Semester,[],[],https://drive.google.com/file/d/1RWMydIRu-ZhgasuNDbA2XyIfHyymySSZ/view?usp=drivesdk,,,,2022-10-03T17:00:00.000Z
